Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
9601;FUNDO DE APERFEICOAMENTO DOS SERVICOS JURIDICOS;9433260;15483219,7;0;15483219,7;164,13
8101;PROCURADORIA GERAL DE JUSTICA;17520000;19534968,28;0;19534968,28;111,5
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;1128632;1121830,84;0;1121830,84;99,4
17601;FUNDO DE DESENVOLVIMENTO INDUSTRIAL E COMERCIAL;25988032;27835000,54;0;27835000,54;107,11
4101;CASA CIVIL;435469;70004438,32;0;70004438,32;16075,64
4301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DO ESTADO DE MATO GROSSO;4581852;4108631,08;0;4108631,08;89,67
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE;38642011;27278583,38;0;27278583,38;70,59
21101;SECRETARIA DE ESTADO DE SAUDE;0;72982,76;0;72982,76;0
30103;RECURSOS SOB A SUPERVISAO DA SECRETARIA DE ESTADO DE PLANEJAMENTO E COORDENACAO GERAL;0;0;0;0;0
16601;FUNDO DE GESTAO FAZENDARIA;150632529;207979461,8;736,85;207978724,9;138,07
21601;FUNDO ESTADUAL DE SAUDE;189890127;238799535,7;0;238799535,7;125,76
30101;RECURSOS SOB A SUPERVISAO DA SECRETARIA DE ESTADO DE ADMINISTRACAO;0;41838866,96;0;41838866,96;0
26101;SECRETARIA DE ESTADO DE CIENCIA E TECNOLOGIA;747633;19285451,55;0;19285451,55;2579,53
2101;TRIBUNAL DE CONTAS;2081720;2343119,9;0;2343119,9;112,56
1101;ASSEMBLEIA LEGISLATIVA;0;56420,73;0;56420,73;0
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERVIDORES DO PODER LEGISLATIVO;7962180;11352380,42;0;11352380,42;142,58
20401;CENTRO DE PROCESSAMENTO DE DADOS DO ESTADO DE MATO GROSSO;48769972;51049008,87;0;51049008,87;104,67
7101;GABINETE DO VICE GOVERNADOR;0;762,66;0;762,66;0
3601;FUNDO DE APOIO AO JUDICIARIO;103406494;105411984,9;0;105411984,9;101,94
99000;TESOURO DO ESTADO DE MATO GROSSO;7191797875;8237301337;941175487,7;7296125849;114,54
14101;SECRETARIA DE ESTADO DE EDUCACAO;82527728;155003221,4;0;155003221,4;187,82
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;1512000;4862945,75;0;4862945,75;321,62
11304;ESCOLA DE GOVERNO DO ESTADO DE MATO GROSSO;0;0;0;0;0
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;7005539;6788477,52;0;6788477,52;96,9
19601;FUNDO ESTADUAL DE SEGURANCA PUBLICA;160434045;145617179,1;0;145617179,1;90,76
10101;DEFENSORIA PUBLICA DO ESTADO;574026;5468019,81;0;5468019,81;952,57
22606;FUNDO PARTILHADO DE INVESTIMENTOS SOCIAIS;10413368;9491028,82;0;9491028,82;91,14
3101;TRIBUNAL DE JUSTICA;60257048;101945710,7;0;101945710,7;169,18
12501;EMPRESA MATOGROSSENSE DE PESQUISA, ASSISTENCIA TECNICA E EXTENSAO RURAL;18072817;4244068,6;0;4244068,6;23,48
22101;SECRETARIA DE ESTADO DE TRABALHO, EMPREGO, CIDADANIA E ASSISTENCIA SOCIAL;3696000;3024088,49;0;3024088,49;81,82
11303;INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE MATO GROSSO;50922191;61840905,08;0;61840905,08;121,44
5101;CASA MILITAR;0;4009,26;0;4009,26;0
13101;SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL;0;744,36;0;744,36;0
12601;FUNDO AGRARIO DO ESTADO DE MATO GROSSO;1500000;0;0;0;0
25101;SECRETARIA DE ESTADO DE INFRA-ESTRUTURA;550106166;959417185;0;959417185;174,41
4302;AGENCIA ESTADUAL DE EXECUCAO DOS PROJETOS DA COPA DO MUNDO DO PANTANAL;160662702;176836765,5;0;176836765,5;110,07
26201;FUNDACAO UNIVERSIDADE DO ESTADO DE MATO GROSSO;6064153;16006430,48;0;16006430,48;263,95
30102;RECURSOS SOB A SUPERVISAO DA SECRETARIA DE ESTADO DE FAZENDA;12250375;17299539,26;0;17299539,26;141,22
20101;SECRETARIA DE ESTADO DE PLANEJAMENTO E COORDENACAO GERAL;1645108;974890,94;0;974890,94;59,26
25301;DEPARTAMENTO ESTADUAL DE TRANSITO;79635664;103650027,9;0;103650027,9;130,16
24101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO DO TURISMO;174063;1296310,19;0;1296310,19;744,74
22604;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR;600793;684397,88;0;684397,88;113,92
19101;SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA;0;8686881,14;0;8686881,14;0
19201;FUNDACAO NOVA CHANCE;84000;7110,9;0;7110,9;8,47
11101;SECRETARIA DE ESTADO DE ADMINISTRACAO;30387310;52596197,38;0;52596197,38;173,09
17502;COMPANHIA MATOGROSSENSE DE GAS;13421803;1467576,88;0;1467576,88;10,93
26302;FUNDO ESTADUAL DE EDUCACAO PROFISSIONAL;0;0;0;0;0
15101;SECRETARIA DE ESTADO DE ESPORTES E LAZER;0;2200,56;0;2200,56;0
15601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;6683225;7130609,98;0;7130609,98;106,69
12101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO RURAL;1994158;2168498,24;0;2168498,24;108,74
17501;COMPANHIA MATOGROSSENSE DE MINERACAO;3082920;2269259,08;0;2269259,08;73,61
17101;SECRETARIA DE ESTADO DE INDUSTRIA, COMERCIO, MINAS E ENERGIA;13652906;7864965,54;0;7864965,54;57,61
17302;INSTITUTO DE METROLOGIA E QUALIDADE DE MATO GROSSO;10710000;11499651,16;0;11499651,16;107,37
