C�digo;Descri��o;Previsto Bruto;Arrecadado Bruto;Dedu��o Realizada;Arrecadado L�quido;Arrecadado
11401;EMPRESA MATO-GROSSENSE DE TECNOLOGIA DE INFORMAC?O;137611106;138258186,3;21975,77;138236210,5;100,47
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE ;131953680;178784234,2;19354669,49;159429564,7;135,49
17101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;108770868;100807816;153583,11;100654232,9;92,68
25101;SECRETARIA DE ESTADO DE INFRAESTRUTURA E LOGISTICA;2858069687;3028163314;50167,23;3028113147;105,95
21601;FUNDO ESTADUAL DE SAUDE;433480790;647502289,3;38629,24;647463660,1;149,37
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERVIDORES DO PODER LEGISLATIVO;71425629;62652535,53;0;62652535,53;87,72
26101;SECRETARIA DE ESTADO DE CIENCIA, TECNOLOGIA E INOVAC?O;1911775;7404068,34;0;7404068,34;387,29
6101;CONTROLADORIA GERAL DO ESTADO;3931231;5156891,81;0;5156891,81;131,18
99000;TESOURO DO ESTADO DE MATO GROSSO;45636184097;48028283725;24220062887;23808220838;105,24
23601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;41060201;50934770,3;8782,55;50925987,75;124,05
19301;DEPARTAMENTO ESTADUAL DE TRANSITO;298386521;566321233,8;1976383,53;564344850,3;189,79
4501;MT PARTICIPAC?ES E PROJETOS S.A. -  MT-PAR;335465914;12056556,08;0;12056556,08;3,59
8101;PROCURADORIA GERAL DA JUSTICA ;131030407;114705419;0;114705419;87,54
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;607587;1636269,41;0;1636269,41;269,31
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;14509729;13854059,67;5066,6;13848993,07;95,48
3601;FUNDO  DE APOIO AO JUDICIARIO;752785200;911960612,1;1253224,74;910707387,4;121,14
23101;SECRETARIA DE ESTADO DE CULTURA, ESPORTE E LAZER;43991101;24849780,42;13268,45;24836511,97;56,49
26202;FUNDAC?O DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO;1230597;11500679,41;0;11500679,41;934,56
25501;COMPANHIA DE SANEAMENTO DO ESTADO DE MATO GROSSO-SANEMAT ;558702;1657328,51;0;1657328,51;296,64
11303;INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE MATO GROSSO;128638855;150736044,9;0;150736044,9;117,18
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA ;334358290;376211805,5;408703,44;375803102;112,52
2101;TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO;123023068;99261108,18;0;99261108,18;80,68
11305;FUNDAC?O MATO GROSSO PREVIDENCIA -MTPREV;0;0;0;0;0
12101;SECRETARIA DE ESTADO DE AGRICULTURA FAMILIAR;172469664;185011729,4;196,58;185011532,8;107,27
10101;DEFENSORIA PUBLICA DO ESTADO DE MATO GROSSO;57628610;56168241,92;0;56168241,92;97,47
22101;SECRETARIA DE ESTADO DE ASSISTENCIA SOCIAL E CIDADANIA;45194426;48687614,53;6652,08;48680962,45;107,73
14101;SECRETARIA DE ESTADO DE EDUCAC?O;3500315523;3313165287;0;3313165287;94,65
17502;COMPANHIA MATO-GROSSENSE DE GAS;54018855;117112727,2;0;117112727,2;216,8
17501;COMPANHIA MATO-GROSSENSE DE MINERAC?O;12318725;813,98;0;813,98;0,01
3101;TRIBUNAL DE JUSTICA DO ESTADO DE MATO GROSSO;389540370;419891413,4;0;419891413,4;107,79
11201;FUNDAC?O MATO GROSSO PREVIDENCIA  -  MTPREV;4331967532;3392665156;0;3392665156;78,32
26201;UNIVERSIDADE DO ESTADO DE MATO GROSSO - CARLOS ALBERTO REYES MALDONADO - UNEMAT ;2014748;16005637,14;0;16005637,14;794,42
11101;SECRETARIA DE ESTADO DE PLANEJAMENTO E GEST?O;23277159;28375997,53;0;28375997,53;121,9
1101;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO;1360356;451777,71;0;451777,71;33,21
18201;FUNDAC?O NOVA CHANCE;1088944;1404766,85;0;1404766,85;129
30102;RECURSOS SOB A SUPERVIS?O DA SEFAZ;0;89132992,33;0;89132992,33;0
4301;AGENCIA ESTADUAL DE REGULAC?O DOS SERVICOS PUBLICOS DELEGADOS DO ESTADO DE MATO GROSSO;10239988;12674815,06;0;12674815,06;123,78
16101;SECRETARIA DE ESTADO DE FAZENDA;226028296;190400514;644156,34;189756357,7;84,24
9101;PROCURADORIA GERAL DO ESTADO;48872292;179757911,8;14180,74;179743731;367,81
12401;EMPRESA MATO-GROSSENSE DE PESQUISA, ASSISTENCIA E EXTENS?O RURAL;4325767;1767949,45;0;1767949,45;40,87
4101;CASA CIVIL ;50000;7236276,75;0;7236276,75;14472,55
22605;FUNDO ESTADUAL DE AMPARO AO TRABALHADOR;2786558;335007,51;0;335007,51;12,02
22608;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR  ;20813887;22710809,4;0;22710809,4;109,11
22603;FUNDO PARA INFANCIA E ADOLESCENCIA;2597;564232,6;0;564232,6;21726,32
19201;FUNDAC?O NOVA CHANCE  ;0;0;0;0;0
17303;INSTITUTO DE DEFESA AGROPECUARIA DE MATO GROSSO;127709866;137217268,4;150410,12;137066858,3;107,44
17601;FUNDO DE DESENVOLVIMENTO ECONOMICO DO ESTADO DE MATO GROSSO - FUNDES;42023032;38818935,63;1778,7;38817156,93;92,38
4304;INSTITUTO DE TERRAS DO ESTADO DE MATO GROSSO;29730914;51086004,04;1264,6;51084739,44;171,83
8601;FUNDO DE APOIO AO MINISTERIO PUBLICO DO ESTADO DE MATO GROSSO;269880;325753,59;0;325753,59;120,7
18101;SECRETARIA DE ESTADO DE JUSTICA;0;25255973,65;0;25255973,65;0
17302;INSTITUTO DE PESOS E MEDIDAS DE MATO GROSSO;11359289;12330104,89;0;12330104,89;108,55
13101;SECRETARIA DE ESTADO DE COMUNICAC?O;0;2217976,76;0;2217976,76;0
29101;ESCRITORIO DE REPRESENTAC?O DO ESTADO DE MATO GROSSO EM BRASILIA-DF ;0;82143,1;0;82143,1;0
30101;RECURSOS SOB A SUPERVIS?O DA SEGES;0;13,51;0;13,51;0
