Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA;308034960;309813113,6;167845,64;309645268;100,58
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE;70635394;105112397,2;244742,41;104867654,8;148,81
17101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;876717;3074129,32;0;3074129,32;350,64
8101;PROCURADORIA GERAL DE JUSTICA;57932071;68510357,39;0;68510357,39;118,26
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;37560;200953,39;0;200953,39;535,02
4301;AGENCIA ESTADUAL DE REGULACAO DOS SERVICOS PUBLICOS DELEGADOS DO ESTADO DE MATO GROSSO;8511954;12093375,68;0;12093375,68;142,08
4101;CASA CIVIL;27534727;670544,04;0;670544,04;2,44
11401;EMPRESA MATO-GROSSENSE DE TECNOLOGIA DE INFORMACAO;106558682;95891787,6;0;95891787,6;89,99
21101;SECRETARIA DE ESTADO DE SAUDE;0;0;0;0;0
21601;FUNDO ESTADUAL DE SAUDE;13147722;13559497,55;1463,16;13558034,39;103,13
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERVIDORES DO PODER LEGISLATIVO;20000000;23255792,34;0;23255792,34;116,28
11305;MATO GROSSO PREVIDENCIA;3148011434;3026037852;0;3026037852;96,13
30101;RECURSOS SOB A SUPERVISAO DA SEPLAG;156366638;186445965,7;0;186445965,7;119,24
26201;UNIVERSIDADE DO ESTADO DE MATO GROSSO CARLOS ALBERTO REYES MALDONADO UNEMAT;3967728;324300;0;324300;8,17
6101;CONTROLADORIA GERAL DO ESTADO;6000000;442972,62;0;442972,62;7,38
11101;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;55852;61989,49;0;61989,49;110,99
25101;SECRETARIA DE ESTADO DE INFRAESTRUTURA E LOGISTICA;218241731;93584291,38;0;93584291,38;42,88
12502;CENTRAL DE ABASTECIMENTO DO ESTADO DE MATO GROSSO;0;8,98;0;8,98;0
17601;FUNDO DE DESENVOLVIMENTO ECONOMICO DO ESTADO DE MATO GROSSO;0;7821329,4;0;7821329,4;0
99000;TESOURO DO ESTADO DE MATO GROSSO;31428685706;42403912757;18444139888;23959772870;134,92
3601;FUNDO DE APOIO AO JUDICIARIO;275385433;473283565,4;0;473283565,4;171,86
19301;DEPARTAMENTO ESTADUAL DE TRANSITO;256383664;356955775,2;386278,95;356569496,2;139,23
23601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;4262530;585138,03;0;585138,03;13,73
14101;SECRETARIA DE ESTADO DE EDUCACAO;49142096;47627243,45;0;47627243,45;96,92
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;12403956;24773688,42;210;24773478,42;199,72
4501;MT PARTICIPACOES E PROJETOS S/A MT PAR;1500000;162160,48;0;162160,48;10,81
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;0;1125;0;1125;0
22608;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR;15835262;20448962,5;58108,03;20390854,47;129,14
11303;INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE MATO GROSSO;91126397;96047783,2;523,17;96047260,03;105,4
