Código;Descrição;Previsto Bruto;Arrecadado Bruto;Dedução Realizada;Arrecadado Líquido;Arrecadado
17101;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;132137219;100356346,7;10177,26;100346169,4;75,95
27101;SECRETARIA DE ESTADO DO MEIO AMBIENTE ;104159154;166380730,2;217524,26;166163205,9;159,74
11401;EMPRESA MATO-GROSSENSE DE TECNOLOGIA DE INFORMAC?O;104236839;113582316,3;1147,11;113581169,2;108,97
1302;DIRETORIA GESTORA DO EXTINTO FUNDO DE ASSISTENCIA PARLAMENTAR;659505;671609,33;0;671609,33;101,84
25101;SECRETARIA DE ESTADO DE INFRAESTRUTURA E LOGISTICA;2492651965;2942278775;2392,4;2942276383;118,04
21601;FUNDO ESTADUAL DE SAUDE;477711762;638256307,6;2024,63;638254283;133,61
1303;INSTITUTO DE SEGURIDADE SOCIAL DOS SERVIDORES DO PODER LEGISLATIVO;59168079;32983227,57;0;32983227,57;55,74
26101;SECRETARIA DE ESTADO DE CIENCIA, TECNOLOGIA E INOVAC?O;1284183;2084474,24;0;2084474,24;162,32
6101;CONTROLADORIA GERAL DO ESTADO;3928719;7392446,76;0;7392446,76;188,16
99000;TESOURO DO ESTADO DE MATO GROSSO;43752394856;44968097879;20625456303;24342641576;102,78
23601;FUNDO DE DESENVOLVIMENTO DESPORTIVO DO ESTADO DE MATO GROSSO;33862638;46435715,17;924,36;46434790,81;137,13
8101;PROCURADORIA GERAL DA JUSTICA ;135835711;173145415,6;0;173145415,6;127,47
4501;MT PARTICIPAC?ES E PROJETOS S.A. -  MT-PAR;270132088;327342850,7;299,04;327342551,7;121,18
19301;DEPARTAMENTO ESTADUAL DE TRANSITO;319380789;519043474,3;296629,59;518746844,7;162,52
22607;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;795203;638455,42;0;638455,42;80,29
17301;JUNTA COMERCIAL DO ESTADO DE MATO GROSSO;13409761;14498325,06;3948,7;14494376,36;108,12
3601;FUNDO  DE APOIO AO JUDICIARIO;564624970;873281405,8;0;873281405,8;154,67
23101;SECRETARIA DE ESTADO DE CULTURA, ESPORTE E LAZER;14393552;50468928,78;689,07;50468239,71;350,64
25501;COMPANHIA DE SANEAMENTO DO ESTADO DE MATO GROSSO-SANEMAT ;677482;657784,48;0;657784,48;97,09
26202;FUNDAC?O DE AMPARO A PESQUISA DO ESTADO DE MATO GROSSO;391909;2964248,01;0;2964248,01;756,36
11303;INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE MATO GROSSO;110166417;133714679,7;0;133714679,7;121,38
19101;SECRETARIA DE ESTADO DE SEGURANCA PUBLICA ;380311222;405715043,6;10257,44;405704786,1;106,68
22101;SECRETARIA DE ESTADO DE ASSISTENCIA SOCIAL E CIDADANIA;126881460;81399401,18;405,75;81398995,43;64,15
2101;TRIBUNAL DE CONTAS DO ESTADO DE MATO GROSSO;128113482;127477948,6;0;127477948,6;99,5
10101;DEFENSORIA PUBLICA DO ESTADO DE MATO GROSSO;70523714;78976267,81;0;78976267,81;111,99
11305;MATO GROSSO PREVIDENCIA ;4707661045;3898756461;0;3898756461;82,82
12101;SECRETARIA DE ESTADO DE AGRICULTURA FAMILIAR;136680993;168524387,7;149,52;168524238,2;123,3
14101;SECRETARIA DE ESTADO DE EDUCAC?O;3281588030;3483174061;0;3483174061;106,14
17502;COMPANHIA MATO-GROSSENSE DE GAS;42244804;35253029,4;0;35253029,4;83,45
17501;COMPANHIA MATO-GROSSENSE DE MINERAC?O;0;566,03;0;566,03;0
3101;TRIBUNAL DE JUSTICA DO ESTADO DE MATO GROSSO;352264874;497983415,9;0;497983415,9;141,37
1101;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MATO GROSSO;17753175;15776279,69;0;15776279,69;88,86
26201;UNIVERSIDADE DO ESTADO DE MATO GROSSO - CARLOS ALBERTO REYES MALDONADO - UNEMAT ;916287;21946816,87;0;21946816,87;2395,19
11101;SECRETARIA DE ESTADO DE PLANEJAMENTO E GEST?O;22075211;23384966,27;0;23384966,27;105,93
30102;RECURSOS SOB A SUPERVIS?O DA SEFAZ;0;237965900,8;0;237965900,8;0
16101;SECRETARIA DE ESTADO DE FAZENDA;151782209;198056093,2;6296,13;198049797,1;130,49
9101;PROCURADORIA GERAL DO ESTADO;39701840;117754819,5;286955,96;117467863,6;296,6
12401;EMPRESA MATO-GROSSENSE DE PESQUISA, ASSISTENCIA E EXTENS?O RURAL;40695261;28854842,71;6300;28848542,71;70,9
22608;FUNDO ESTADUAL DE DEFESA DO CONSUMIDOR  ;24450427;15086780,5;168684,26;14918096,24;61,7
